Edad 	Mascota	Sueldo	Calificaciones	Tiempo_libre	Horas_familia
21.5	2	750	6		15		2
21.5	0	0	9.5		5		4
21.5	1	0	9.5		8		0.5
17	4.5	0	8		5		2
17	2	0	8		5		4
21.5	0	0	9.5		3		0.5
21.5	1	750	8		3		4
17	2	0	8		3		2
17	2	750	8		15		7.5
21.5	1	0	8		3		2
50	0	2250	8		8		7.5
17	4.5	0	9.5		5		8
17	0	0	2.5		8		4
21.5	0	0	6		15		7.5
21.5	2	0	9.5		5		4
21.5	4.5	2250	9.5		5		2
17	0	0	8		5		4
17	0	0	6		5		8
50	4.5	2250	8		8		2
32.5	0	750	8		15		7.5
50	0	2250	8		5		7.5
21.5	1	0	9.5		5		0.5
50	1	750	6		5		4
50	1	2250	6		3		4
21.5	2	0	9.5		3		4
50	1	2250	9.5		3		7.5
50	1	4500	6		5		4
50	2	750	6		15		4
32.5	1	750	8		15		7.5
50	0	750	8		8		4
50	0	750	8		8		7.5
50	0	750	2.5		15		7.5
50	0	750	8		8		2
50	0	750	6		8		7.5
32.5	0	750	6		5		4
32.5	0	2250	6		3		7.5
